q,o,a,difficulty
Nabi yang memiliki suara sangat merdu untuk membaca kitab Zabur adalah...,Nabi Sulaiman a.s.\Nabi Musa a.s.\Nabi Daud a.s.\Nabi Isa a.s.,Nabi Daud a.s.,2
Surah Ad-Duha artinya...,Waktu Duha (Matahari Sepenggalah Naik)\Waktu Subuh\Waktu Malam\Pertolongan,Waktu Duha (Matahari Sepenggalah Naik),2
Surah Ad-Duha diturunkan di kota...,Madinah\Makkah\Ta'if\Mesir,Makkah,1
Dalam Surah Ad-Duha\ Allah melarang kita menghardik...,Orang tua\Guru\Teman\Anak yatim,Anak yatim,2
Al-Gaffar artinya Allah Maha...,Pengampun\Pemaaf\Esa\Tempat Meminta,Pengampun,2
Al-Wahid artinya Allah Maha...,Esa\Pengampun\Pemaaf\Tempat Meminta,Esa,1
Meyakini Allah Al-Wahid berarti kita tidak boleh...,Syirik (menyekutukan Allah)\Salat\Puasa\Jujur,Syirik (menyekutukan Allah),2
Makanan yang boleh dimakan menurut syariat Islam disebut...,Haram\Halal\Syubhat\Makruh,Halal,1
Bangkai (hewan yang mati tidak disembelih) hukumnya...,Halal\Haram\Makruh\Mubah,Haram,1
Makanan yang halal tetapi diperoleh dengan cara mencuri hukumnya menjadi...,Halal\Haram\Syubhat\Makruh,Haram,1
Khulafaur Rasyidin artinya...,Raja yang adil\Pemimpin yang bijaksana\Presiden\Pengganti Rasul yang mendapat petunjuk,Pengganti Rasul yang mendapat petunjuk,2
"Gelar ""Ash-Shiddiq"" diberikan kepada Abu Bakar karena ia...",Orang pertama masuk Islam\Membenarkan peristiwa Isra Mi'raj\Selalu jujur\Sangat kaya,Membenarkan peristiwa Isra Mi'raj,2
"Umar bin Khattab mendapat gelar ""Al-Faruq"" yang artinya...",Pemberani\Pemisah (antara yang hak dan batil)\Yang adil\Singa padang pasir,Pemisah (antara yang hak dan batil),3
Sebelum masuk Islam Umar bin Khattab dikenal...,Lemah lembut\Penakut\Sangat keras menentang Islam\Penyabar,Sangat keras menentang Islam,2
Surah Ad-Duha berisi larangan berbuat sewenang-wenang terhadap...,Anak yatim dan orang yang meminta-minta\Orang tua dan guru\Tetangga dan teman\Harta benda,Anak yatim dan orang yang meminta-minta,3
Allah Maha Pemaaf adalah arti dari...,Al-Gaffar\Al-Wahid\Al-'Afuw\As-Samad,Al-'Afuw,2
Gerakan memerangi orang yang murtad dan nabi palsu disebut...,Perang Salib\Perang Riddah\Perang Badar\Perang Uhud,Perang Riddah,3
Allah tidak beranak dan tidak diperanakkan adalah bukti Allah...,As-Samad\Al-Wahid\Al-Gaffar\Al-'Afuw,Al-Wahid,3
Surah Al-Ma'un menceritakan tentang orang yang...,Rajin beribadah\Mendustakan agama\Beriman kepada Allah\Suka menolong,Mendustakan agama,3
Menghardik anak yatim adalah perbuatan yang...,Terpuji\Tercela\Biasa saja\Dianjurkan,Tercela,2
Surah Al-Fil menceritakan tentang pasukan gajah yang dipimpin oleh...,Fir'aun\Namrud\Abrahah\Jalut,Abrahah,3
Burung Ababil melempari pasukan gajah dengan...,Air hujan\Pasir\Batu dari neraka (sijjil)\Api,Batu dari neraka (sijjil),3
Al-Qayyum artinya Allah Maha...,Kuat\Mandiri (Berdiri Sendiri)\Menghidupkan\Mematikan,Mandiri (Berdiri Sendiri),3
Allah Maha Mematikan adalah arti dari...,Al-Qawiy\Al-Qayyum\Al-Muhyi\Al-Mumit,Al-Mumit,3
Allah membangkitkan manusia dari kubur pada hari kiamat adalah bukti sifat...,Al-Qawiy\Al-Qayyum\Al-Mumit\Al-Ba'is,Al-Ba'is,3
Lawan dari sifat jujur adalah...,Amanah\Dusta (Bohong)\Santun\Patuh,Dusta (Bohong),2
Menjaga barang titipan teman adalah contoh perilaku...,Jujur\Amanah\Santun\Hormat,Amanah,2
Mendengarkan nasihat guru adalah contoh...,Patuh kepada guru\Jujur\Amanah\Santun,Patuh kepada guru,2
Patuh artinya...,Melawan\Membantah\Tunduk dan taat\Bermalas-malasan,Tunduk dan taat,2
Tidak memotong pembicaraan orang lain adalah contoh sikap...,Jujur\Amanah\Santun\Tidak sopan,Santun,2
"Menjawab panggilan orang tua dengan kata ""ya\ bu/pak"" adalah contoh...",Jujur\Hormat dan santun\Amanah\Malas,Hormat dan santun,2
Nabi Daud a.s. memiliki mukjizat...,Membelah lautan\Membuat kapal besar\Melunakkan besi dengan tangan\Berbicara dengan hewan,Melunakkan besi dengan tangan,3
Nabi Sulaiman a.s. adalah seorang nabi yang juga seorang...,Petani\Pedagang\Raja\Nelayan,Raja,3
Tentara Nabi Sulaiman a.s. terdiri dari...,"Manusia saja\Jin saja\Hewan saja\Manusia, Jin,dan Hewan","Manusia, Jin,dan Hewan",3
Kisah Nabi Sulaiman a.s. dan pasukan semut menunjukkan sifat Nabi Sulaiman yang...,Sombong\Pemarah\Adil dan bijaksana\Tidak peduli,Adil dan bijaksana,3
Surah Ad-Duha terdiri dari ... ayat.,9\10\11\12,11,3
Surah Ad-Duha termasuk golongan surah...,Makkiyah\Madaniyah\Mesiriyah\Iraqiyah,Makkiyah,2
"""Fa ammal yatiima fala taqhar"" artinya...",Dan terhadap anak yatim janganlah engkau berlaku sewenang-wenang\Dan terhadap orang yang meminta-minta janganlah engkau menghardiknya\Tuhanmu tiada meninggalkan engkau\Dan terhadap nikmat Tuhanmu\ hendaklah engkau nyatakan,Dan terhadap anak yatim janganlah engkau berlaku sewenang-wenang,3
Al-'Afuw artinya Allah Maha...,Pengampun\Pemaaf\Esa\Tempat Meminta,Pemaaf,2
As-Samad artinya Allah Maha...,Pengampun\Esa\Tempat Meminta Segala Sesuatu\Pemaaf,Tempat Meminta Segala Sesuatu,3
Cara meneladani As-Samad adalah...,Menjadi orang yang sombong\Menjadi orang yang tidak butuh siapa-pun\Menjadi orang yang bermanfaat dan membantu orang lain\Selalu meminta-minta,Menjadi orang yang bermanfaat dan membantu orang lain,3
Lawan dari makanan halal adalah...,Haram\Baik\Enak\Bergizi,Haram,2
Darah yang mengalir (damam masfuh) hukumnya...,Halal\Haram\Mubah\Sunah,Haram,1
"Arti dari ""Halalan Tayyiban"" adalah...",Halal dan Mahal\Halal dan Lezat\Halal dan Baik\Halal dan Sedikit,Halal dan Baik,3
Khalifah pertama setelah Nabi Muhammad saw. wafat adalah...,Umar bin Khattab\Utsman bin Affan\Abu Bakar Ash-Shiddiq\Ali bin Abi Thalib,Abu Bakar Ash-Shiddiq,2
Khalifah kedua adalah...,Umar bin Khattab\Utsman bin Affan\Abu Bakar\Ali bin Abi Thalib,Umar bin Khattab,2
Penetapan kalender Hijriah dilakukan pada masa khalifah...,Abu Bakar Ash-Shiddiq\Umar bin Khattab\Utsman bin Affan\Ali bin Abi Thalib,Umar bin Khattab,3
Umar bin Khattab masuk Islam setelah mendengar bacaan surah...,Yasin\Al-Baqarah\Taha\Ar-Rahman,Taha,3
Daging hewan yang disembelih dengan menyebut nama selain Allah hukumnya...,Halal\Haram\Makruh\Mubah,Haram,2
"""Wawajadaka 'aa-ilan fa aghnaa"" artinya...","Bukankah Dia mendapatimu sebagai seorang yatim, lalu Dia melindungimu?\Dan Dia mendapatimu sebagai seorang yang bingung, lalu Dia memberikan petunjuk\Dan Dia mendapatimu sebagai seorang yang kekurangan, lalu Dia memberikan kecukupan\Dan terhadap nikmat Tuhanmu, maka hendaklah kamu siarkan","Dan Dia mendapatimu sebagai seorang yang kekurangan, lalu Dia memberikan kecukupan",3
Perang Riddah dipimpin oleh Khalifah...,Umar bin Khattab\Utsman bin Affan\Abu Bakar Ash-Shiddiq\Ali bin Abi Thalib,Abu Bakar Ash-Shiddiq,3
Makanan yang diharamkan karena zatnya (haram 'aini) adalah...,Roti curian\Daging babi\Nasi hasil korupsi\Minuman hasil menipu,Daging babi,3
Orang yang salat tetapi lalai dalam salatnya (riya'/pamer) adalah ciri pendusta agama dalam surah...,Al-Fil\Al-Ma'un\An-Nas\Al-Ikhlas,Al-Ma'un,3
Siapakah yang disebut pendusta agama menurut Surah Al-Ma'un?,Orang yang menghardik anak yatim dan tidak memberi makan orang miskin\Orang yang berpuasa\Orang yang haji\Orang yang jujur,Orang yang menghardik anak yatim dan tidak memberi makan orang miskin,3
Apa tujuan Raja Abrahah menyerang Makkah?,Hendak berdagang\Hendak berhaji\Hendak menghancurkan Ka'bah\Hendak mencari Nabi Muhammad,Hendak menghancurkan Ka'bah,3
Tahun kelahiran Nabi Muhammad saw. disebut Tahun Gajah karena bertepatan dengan peristiwa...,Perang Gajah\Serangan pasukan Abrahah\Nabi Sulaiman berbicara dengan gajah\Gajah masuk Ka'bah,Serangan pasukan Abrahah,3
Allah tidak membutuhkan bantuan makhluk-Nya sama sekali adalah cerminan sifat...,Al-Qawiy\Al-Qayyum\Al-Muhyi\Al-Mumit,Al-Qayyum,3
Menjaga kesehatan tubuh agar kuat beribadah adalah cara meneladani sifat...,Al-Qawiy\Al-Qayyum\Al-Mumit\Al-Ba'is,Al-Qawiy,3
Berusaha tidak menyusahkan orang tua dan belajar mandiri adalah cara meneladani sifat...,Al-Qawiy\Al-Qayyum\Al-Muhyi\Al-Mumit,Al-Qayyum,3
Jika kita tidak sengaja memecahkan vas bunga, sikap jujur adalah...,Diam saja\Menuduh orang lain\Mengaku dan meminta maaf\Berdiam diri,Mengaku dan meminta maaf,3
Jika menemukan pensil teman di kelas, sikap amanah adalah...,Mengambilnya\Memberikan ke guru/mengembalikannya\Membiarkannya\Menyembunyikannya,"Memberikan ke guru, mengembalikannya",3
Menjalankan piket kelas sesuai jadwal adalah contoh perilaku...,Jujur\Amanah\Santun\Hormat,Amanah,3
Manfaat dari sikap santun dan menghargai teman adalah...,Dibenci teman\Dimusuhi\Memiliki banyak teman\Menjadi sombong,Memiliki banyak teman,3
Apa yang harus kamu lakukan jika temanmu sedang beribadah?,Mengajaknya bermain\Mengganggunya\Menghargainya\Menertawakannya,Menghargainya,3
Sikap patuh kepada guru harus dilakukan selama perintah itu...,Menyenangkan\Mudah\Tidak bertentangan dengan ajaran agama\Merugikan,Tidak bertentangan dengan ajaran agama,3
Nabi Daud a.s. berhasil mengalahkan raja zalim yang sombong bernama...,Fir'aun\Abrahah\Namrud\Jalut (Goliath),Jalut (Goliath),3
Nabi Sulaiman a.s. mengerti bahasa...,Manusia saja\Jin saja\Hewan\Malaikat,Hewan,2
Burung yang memberi kabar kepada Nabi Sulaiman tentang Ratu Balqis adalah...,Ababil\Gagak\Merpati\Hud-hud,Hud-hud,3
Istana Ratu Balqis dipindahkan oleh... atas perintah Nabi Sulaiman.,Pasukan jin\Pasukan manusia\Pasukan burung\Nabi Sulaiman sendiri,Pasukan jin,3
"Sumpah Allah ""Wad-duha"" dalam ayat pertama artinya...",Demi malam\Demi waktu subuh\Demi waktu duha\Demi fajar,Demi waktu duha,2
Surah Ad-Duha turun setelah Nabi Muhammad saw. ... menerima wahyu.,Selalu\Sering\Beberapa waktu tidak\Baru saja,Beberapa waktu tidak,3
Perbedaan Al-Gaffar dan Al-'Afuw adalah...,Al-Gaffar mengampuni\ Al-'Afuw menghukum\Al-Gaffar menutupi dosa\ Al-'Afuw menghapus dosa sampai akarnya\Sama saja\Al-Gaffar untuk dosa besar\ Al-'Afuw untuk dosa kecil,"Al-Gaffar menutupi dosa, Al-'Afuw menghapus dosa sampai akarnya",3
Sifat As-Samad Allah dijelaskan dalam Al-Qur'an surah...,An-Nas\Al-Ikhlas\Ad-Duha\Al-Falaq,Al-Ikhlas,2
Perilaku yang mencerminkan keyakinan Al-Gaffar adalah...,Segera bertaubat dan memohon ampun jika berbuat salah\Selalu memaafkan kesalahan orang lain\Hanya menyembah Allah\Selalu membantu orang yang membutuhkan,Segera bertaubat dan memohon ampun jika berbuat salah,3
Contoh makanan yang jelas haram adalah...,Daging ayam\Daging sapi\Daging babi\Ikan laut,Daging babi,3
Minuman yang memabukkan disebut juga...,Jus\Khamr\Susu\Madu,Khamr,3
Jika kita ragu-ragu akan kehalalan suatu makanan\ sikap kita sebaiknya...,Memakannya\Membuangnya\Menghindarinya (Syubhat)\Memberikan ke orang lain,Menghindarinya (Syubhat),3
"Gelar Abu Bakar ""Ash-Shiddiq"" artinya...",Yang jujur\Yang dipercaya\Yang membenarkan\Yang adil,Yang membenarkan,3
Salah satu jasa besar Abu Bakar Ash-Shiddiq adalah...,Mendirikan Baitul Mal\Menetapkan kalender Hijriah\Memerangi nabi palsu dan mengumpulkan Al-Qur'an\Memperluas wilayah Islam ke Mesir,Memerangi nabi palsu dan mengumpulkan Al-Qur'an,3
Lembaga yang mengurus keuangan negara (Baitul Mal) didirikan pada masa...,Nabi Muhammad saw.\Abu Bakar Ash-Shiddiq\Umar bin Khattab\Utsman bin Affan,Umar bin Khattab,3
Jasa Khalifah Umar yang membagi wilayah administrasi negara disebut...,Pembentukan Diwan (departemen)\Pembukuan Al-Qur'an\Perang Riddah\Kalender Hijriah,Pembentukan Diwan (departemen),3
"Khalifah yang dijuluki ""Singa Padang Pasir"" sebelum dan sesudah masuk Islam adalah...",Abu Bakar Ash-Shiddiq\Umar bin Khattab\Hamzah bin Abdul Muthalib\Ali bin Abi Thalib,Umar bin Khattab,3
Musailamah Al-Kazzab adalah...,Sahabat nabi\Nabi palsu yang diperangi Abu Bakar\Panglima perang Umar\Gubernur Mesir,Nabi palsu yang diperangi Abu Bakar,3

