q,o,a,difficulty
"Prinsip dakwah ""Mauidzah Hasanah"" artinya...",Debat sengit\Nasihat yang baik\Paksaan keras\Diskusi logika\Ceramah lucu,Nasihat yang baik,2
Perbedaan khutbah dan dakwah...,Khutbah ada rukunnya\Dakwah harus di mimbar\Khutbah bebas waktunya\Dakwah wajib wudu\Sama saja,Khutbah ada rukunnya,3
Dakwah dengan perbuatan nyata disebut...,Dakwah bil lisan\Dakwah bil hal\Dakwah bil qalam\Dakwah bil mal\Dakwah bil sirri,Dakwah bil hal,3
Syekh Nawawi Al-Bantani berasal dari...,Banten (Jawa Barat)\Aceh\Makassar\Padang\Banjarmasin,Banten (Jawa Barat),1
Karya terkenal Syekh Nawawi adalah...,Tafsir Al-Misbah\Tafsir Al-Munir\Ihya Ulumuddin\Riyadus Shalihin\Bulughul Maram,Tafsir Al-Munir,3
Gelar Syekh Nawawi di Mekah...,Imam Masjid Nabawi\Sayyidul Hijaz\Mufti Mesir\Sultan Arab\Amirul Mukminin,Sayyidul Hijaz,3
Nuruddin Ar-Raniri berdakwah di...,Jawa\Aceh\Sulawesi\Kalimantan\Papua,Aceh,2
Ulama yang menentang wujudiyah sesat...,Syekh Nawawi\Nuruddin Ar-Raniri\Wali Songo\Hamzah Fansuri\Ibnu Batutah,Nuruddin Ar-Raniri,3
Hamzah Fansuri terkenal sebagai...,Ahli Fiqih\Sastrawan/Penyair Sufi\Jenderal Perang\Pedagang\Raja,Sastrawan/Penyair Sufi,2
Syekh Yusuf Al-Makassari diasingkan ke...,Belanda\Sri Lanka & Afsel\Mesir\Turki\Jepang,Sri Lanka & Afsel,3
Gelar Pahlawan Nasional diberikan karena...,Kaya raya\Berjuang melawan penjajah\Menulis buku\Haji berkali-kali\Punya banyak murid,Berjuang melawan penjajah,1
Syekh Abdurrauf As-Singkili berasal dari...,Aceh Singkil\Padang\Palembang\Riau\Bengkulu,Aceh Singkil,1
Ulama wanita dari Jepara adalah...,R.A. Kartini\Cut Nyak Dien\Ratu Kalinyamat\Malahayati\Dewi Sartika,Ratu Kalinyamat,3
Salah satu karya Nuruddin Ar-Raniri...,Bustanussalatin\Serat Centhini\Tajul Muluk\Sabilal Muhtadin\Tafsir Jalalain,Bustanussalatin,3
Keteladanan ulama masa lalu adalah...,Suka kekuasaan\Produktif berkarya\Suka permusuhan\Malas belajar\Hidup mewah,Produktif berkarya,1
Syekh Sholeh Darat adalah guru dari...,Pangeran Diponegoro\KH Hasyim Asy'ari\Sultan Agung\Tuanku Imam Bonjol\Pattimura,KH Hasyim Asy'ari,3
Ulama Indonesia menjadi penghubung...,Dagang\Jaringan Ulama Dunia\Politik praktis\Seni budaya\Militer,Jaringan Ulama Dunia,2
Tafsir Al-Munir ditulis dalam bahasa...,Indonesia\Arab\Jawa\Sunda\Melayu,Arab,3
Syekh Yusuf berjuang di negara...,Malaysia\Afrika Selatan\Arab Saudi\Yaman\India,Afrika Selatan,2
Dakwah yang santun akan membuat Islam...,Dibenci\Ditakuti\Diterima dengan baik\Dicurigai\Diabaikan,Diterima dengan baik,1
Menghindari judi (Maisir) karena...,Membuat kaya\Merusak ekonomi & mental\Hobi yang baik\Melatih strategi\Hiburan semata,Merusak ekonomi & mental,1
Hukum tawuran bagi pelajar...,Wajib\Sunah\Haram\Makruh\Mubah,Haram,1
Sikap muslim terhadap janji palsu...,Mendukung\Menghindari\Meniru\Memuji\Menyebarkan,Menghindari,1
Q.S. Al-Baqarah ayat 155 membahas tentang...,Hukum perang\Ujian dan cobaan\Hukum waris\Pernikahan\Zakat mal,Ujian dan cobaan,1
"Lafal ""Al-Khauf"" dalam ayat 155 artinya...",Kelaparan\Ketakutan\Kekurangan harta\Kematian\Buah-buahan,Ketakutan,2
"Lafal ""Al-Ju'"" artinya adalah...",Rasa sakit\Rasa takut\Rasa lapar\Rasa kantuk\Rasa sedih,Rasa lapar,2
"Kalimat ""Inna lillahi wa inna ilaihi raji'un"" disebut...",Tahmid\Tasbih\Tarji' (Istirja')\Tahlil\Takbir,Tarji' (Istirja'),1
Musibah bagi orang beriman bertujuan untuk...,Menghukum dosa\Meningkatkan derajat\Menghina manusia\Balas dendam\Menunjukkan kuasa,Meningkatkan derajat,2
Q.S. Ali Imran ayat 159 membahas tentang...,Jual beli\Musyawarah\Poligami\Perceraian\Haji,Musyawarah,1
Sifat Nabi dalam Ali Imran 159 adalah...,Keras hati\Lemah lembut\Pemarah\Pendendam\Sombong,Lemah lembut,1
Sikap setelah musyawarah (Azamta) adalah...,Berdebat lagi\Tawakkal\Pasrah diam\Protes\Ragu-ragu,Tawakkal,2
Demokrasi dalam Islam disebut...,Syirkah\Syura\Siyasah\Khilafah\Muamalah,Syura,2
Perbedaan pendapat harus disikapi dengan...,Amarah\Lapang dada\Dendam\Permusuhan\Saling ejek,Lapang dada,1
Iman kepada Qada dan Qadar adalah rukun iman ke-...,3\4\5\6\1,6,1
Qada menurut bahasa artinya...,Ketentuan/Ketetapan\Ukuran\Kekuatan\Kemampuan\Kehendak,Ketentuan/Ketetapan,2
Qadar menurut bahasa artinya...,Rencana\Ukuran/Kadar\Zaman\Nasib\Keinginan,Ukuran/Kadar,2
Takdir yang tidak bisa diubah disebut...,Takdir Muallaq\Takdir Mubram\Takdir Buruk\Takdir Baik\Takdir Mutlak,Takdir Mubram,1
Contoh takdir Mubram adalah...,Kepintaran\Kekayaan\Kesehatan\Kematian\Kezaliman,Kematian,2
Takdir yang bisa diubah dengan usaha disebut...,Takdir Mubram\Takdir Muallaq\Takdir Nasib\Takdir Sial\Takdir Mutlak,Takdir Muallaq,1
Hubungan antara doa dan takdir adalah...,Tidak ada hubungan\Doa mengubah takdir\Doa sia-sia\Takdir mengalahkan doa\Doa hanya pelengkap,Doa mengubah takdir,2
Sikap positif terhadap takdir buruk...,Marah\Putus asa\Sabar dan Husnuzan\Menyalahkan Tuhan\Bunuh diri,Sabar dan Husnuzan,1
"Arti ""Ikhtiar"" adalah...",Berdoa\Berserah diri\Berusaha sungguh-sungguh\Berdiam diri\Berharap,Berusaha sungguh-sungguh,1
Tawakkal dilakukan setelah...,Berdoa\Bermimpi\Berikhtiar (Usaha)\Gagal\Sukses,Berikhtiar (Usaha),1
Menikah hukum asalnya adalah...,Wajib\Sunah\Mubah (Jaiz)\Makruh\Haram,Mubah (Jaiz),2
Nikah menjadi wajib jika...,Sudah mampu & takut zina\Belum mampu\Ingin kaya\Dipaksa orang tua\Ingin warisan,Sudah mampu & takut zina,2
Rukun nikah yang pertama adalah...,Saksi\Wali\Calon Suami/Istri\Penghulu\Mahar,Calon Suami/Istri,1
Wali nikah utama bagi wanita adalah...,Paman\Kakek\Ayah kandung\Kakak laki-laki\Adik laki-laki,Ayah kandung,1
Wanita yang haram dinikahi disebut...,Muhrim\Mahram\Mualaf\Musyrik\Mukallaf,Mahram,1
Pemberian wajib suami kepada istri saat akad...,Nafkah\Hadiah\Mahar (Mas Kawin)\Seserahan\Warisan,Mahar (Mas Kawin),1
Ijab kabul adalah ucapan serah terima dari...,Wali dan Mempelai Pria\Ibu dan Bapak\Saksi dan Penghulu\Suami dan Istri\Penghulu dan Wali,Wali dan Mempelai Pria,2
Memutuskan ikatan pernikahan disebut...,Rujuk\Talak\Khulu'\Fasakh\Zihar,Talak,1
Masa menunggu bagi wanita yang dicerai...,Haid\Iddah\Nifas\Ihad\Pingitan,Iddah,2
"Tujuan pernikahan ""Sakinah"" artinya...",Cinta kasih\Kasih sayang\Ketenangan/Ketentraman\Kekayaan\Keturunan,Ketenangan/Ketentraman,1
Mawaddah artinya...,Rasa Cinta\Rasa Sayang\Rasa Takut\Rasa Hormat\Rasa Aman,Rasa Cinta,2
Nikah Mut'ah (kawin kontrak) hukumnya...,Wajib\Sunah\Haram\Makruh\Mubah,Haram,1
Sarekat Dagang Islam didirikan oleh...,HOS Cokroaminoto\KH Samanhudi\KH Ahmad Dahlan\Tirto Adhi\Agus Salim,KH Samanhudi,3
Muhammadiyah didirikan pada tahun...,1905\1908\1912\1926\1945,1912,3
Pendiri organisasi Muhammadiyah adalah...,KH Hasyim Asy'ari\KH Ahmad Dahlan\Buya Hamka\A. Hassan\Ki Bagus Hadikusumo,KH Ahmad Dahlan,1
Nahdlatul Ulama (NU) didirikan oleh...,KH Ahmad Dahlan\KH Hasyim Asy'ari\KH Mas Mansur\KH Wahid Hasyim\Gus Dur,KH Hasyim Asy'ari,1
Organisasi Persis (Persatuan Islam) didirikan di...,Yogyakarta\Surabaya\Bandung\Jakarta\Semarang,Bandung,3
Tokoh utama Persis adalah...,A. Hassan\Natsir\Hamka\Kartosuwiryo\Snouck Hurgronje,A. Hassan,3
Resolusi Jihad dikeluarkan oleh...,Muhammadiyah\Nahdlatul Ulama\Sarekat Islam\Masyumi\Persis,Nahdlatul Ulama,2
Tujuan utama organisasi Islam pra-kemerdekaan...,Mencari kekayaan\Melawan penjajah & Dakwah\Membangun masjid\Membuat partai\Berdagang,Melawan penjajah & Dakwah,1
Kerja keras dalam Islam disebut...,Jihad\Mujahadah\Ijtihad\Ikhtiar\Amal saleh,Ikhtiar,1
Syarat agar kerja bernilai ibadah...,Gaji besar\Niat ikhlas karena Allah\Jabatan tinggi\Dipuji atasan\Kerja santai,Niat ikhlas karena Allah,1
Tangan di atas lebih baik daripada...,Tangan di saku\Tangan di bawah\Tangan mengepal\Tangan melipat\Tangan kosong,Tangan di bawah,1
Tanggung jawab manusia sebagai khalifah...,Merusak alam\Memakmurkan bumi\Menguasai manusia\Menumpuk harta\Mencari kuasa,Memakmurkan bumi,2
Islam melarang hidup bermalas-malasan karena...,Menjadi beban orang lain\Tidak punya teman\Dimarahi orang tua\Sulit tidur\Badan sakit,Menjadi beban orang lain,1
Sikap ihsan dalam bekerja artinya...,Bekerja seadanya\Merasa diawasi Allah\Bekerja saat diawasi bos\Bekerja cepat\Bekerja lembur,Merasa diawasi Allah,2
Fastabiqul Khairat adalah prinsip...,Berlomba dalam kejahatan\Berlomba dalam kebaikan\Saling menjatuhkan\Bersaing curang\Bekerja sendiri,Berlomba dalam kebaikan,1
Istri yang ditalak raj'i boleh...,Langsung nikah lagi\Dirujuk kembali\Diusir dari rumah\Mencari suami baru\Menolak rujuk,Dirujuk kembali,2
Talak tiga (Ba'in Kubra) menyebabkan...,Boleh rujuk langsung\Tidak boleh rujuk langsung\Nikah ulang langsung\Denda uang\Haram selamanya,Tidak boleh rujuk langsung,3
Syarat rujuk bagi istri...,Mbayar denda\Masih dalam masa iddah\Sudah nikah lagi\Punya anak\Setuju mahar baru,Masih dalam masa iddah,2
Hukum nikah beda agama di Indonesia (UU)...,Sah\Tidak Sah/Dilarang\Makruh\Mubah\Sunah,Tidak Sah/Dilarang,2
Kewajiban suami terhadap istri...,Memasak\Memberi nafkah lahir batin\Mencuci baju\Bekerja keras\Menjaga rumah,Memberi nafkah lahir batin,1
Peristiwa 10 November dikobarkan dengan teriakan...,Merdeka\Allahu Akbar\Maju\Serang\Pancasila,Allahu Akbar,1
Ulama pembaharu Islam dari Minangkabau...,Haji Miskin\Tuanku Imam Bonjol\Hamka\Syeikh Ahmad Khatib\M. Natsir,Syeikh Ahmad Khatib,3
Peran umat Islam pasca kemerdekaan...,Memberontak\Mengisi pembangunan\Tidur\Perang saudara\Memisahkan diri,Mengisi pembangunan,1
Ayat tentang kewajiban berdakwah...,Ali Imran 104\Al-Baqarah 183\An-Nisa 59\Al-Maidah 3\Al-Hujurat 13,Ali Imran 104,3
"Prinsip ""Bhinneka Tunggal Ika"" sesuai ajaran...",Tasamuh (Toleransi)\Ta'awun\Takaful\Tabayyun\Tahkim,Tasamuh (Toleransi),2
Sikap ekstrem dalam beragama disebut...,Moderat\Radikal/Ghulub\Liberal\Sekuler\Plural,Radikal/Ghulub,2
Islam Washatiyah artinya Islam yang...,Keras\Tengah-tengah/Moderat\Bebas\Kuno\Modern,Tengah-tengah/Moderat,1
Tujuan diciptakannya manusia (Az-Zariyat 56)...,Beribadah kepada Allah\Menjadi kaya\Menjadi penguasa\Bersenang-senang\Berperang,Beribadah kepada Allah,1
