q,o,a,difficulty
"""Asyhadu an laa ilaaha illallaah"" adalah bunyi syahadat...,Rasul\Tauhid\Iman\Islam,Tauhid,2"
Nabi Adam AS adalah nabi yang...,Terakhir\Kedua\Pertama\Kelima,Pertama,1
Sifat nabi yang artinya 'jujur' atau 'benar' adalah...,Amanah\Tabligh\Fatanah\Siddiq,Siddiq,2
Sifat nabi yang artinya 'dapat dipercaya' adalah...,Amanah\Tabligh\Fatanah\Siddiq,Amanah,2
Surah An-Nas diturunkan di kota...,Madinah\Mekkah\Mesir\Palestina,Mekkah,2
Dalam Surah An-Nas\ kita berlindung dari kejahatan...,Hewan buas\Siang hari\Bisikan setan\Orang tidur,Bisikan setan,2
"Surah An-Nas disebut juga surah ""Mu'awwidzatain"" bersama surah...,Al-Ikhlas\Al-Falaq\Al-Kafirun\Al-Fatihah,Al-Falaq,3"
Al-Malik artinya Allah Maha...,Suci\Sejahtera\Raja\Mengetahui,Raja,2
As-Salam artinya Allah Maha...,Suci\Sejahtera\Raja\Esa,Sejahtera,3
Memberikan rasa aman dan damai kepada teman adalah cara meneladani...,Al-Malik\Al-Quddus\As-Salam\Al-Khaliq,As-Salam,3
Jika menemukan pensil teman yang jatuh\ kita harus...,Mengambilnya\Menyembunyikannya\Membiarkannya\Mengembalikannya,Mengembalikannya,2
Jujur artinya berkata apa...,Adanya\Diinginkan\Disembunyikan\Dilebihkan,Adanya,1
Berwudu menggunakan...,Air suci dan mensucikan\Air kopi\Air teh\Minyak,Air suci dan mensucikan,1
Membasuh muka adalah salah satu ... wudu.,Sunah\Rukun\Syarat\Yang membatalkan,Rukun,2
Membasuh kedua tangan saat wudu adalah sampai...,Pergelangan tangan\Siku\Bahu\Jari,Siku,2
Nabi Nuh a.s. mengajak kaumnya untuk menyembah...,Berhala\Allah\Api\Matahari,Allah,1
Anak Nabi Nuh a.s. yang durhaka dan ikut tenggelam bernama...,Kan'an\Ibrahim\Musa\Isa,Kan'an,2
Siapa yang mengejek Nabi Nuh a.s. ketika membuat kapal?,Para pengikutnya\Kaumnya yang kafir\Malaikat\Istrinya yang beriman,Kaumnya yang kafir,2
Orang yang ikut naik ke kapal Nabi Nuh a.s. adalah orang yang...,Kaya raya\Kuat\Beriman\Durhaka,Beriman,2
Al-Quddus artinya Allah Maha...,Raja\Suci\Sejahtera\Pencipta,Suci,2
Setelah wudu\ disunahkan membaca...,Salawat\Doa setelah wudu\Surah An-Nas\Niat salat,Doa setelah wudu,2
Allah menyayangi orang-orang yang beriman adalah penjelasan dari sifat...,Ar-Rahman\Ar-Rahim\Al-Khaliq\As-Salam,Ar-Rahim,3
Asmaul Husna artinya...,Nama-nama baik bagi Allah\Nama-nama nabi\Nama-nama malaikat\Kitab-kitab Allah,Nama-nama baik bagi Allah,2
Berapa jumlah Asmaul Husna?,99\10\25\6,99,2
Allah Maha Esa atau Satu adalah arti dari...,Al-Khaliq\Al-Ahad\Ar-Rahman\Ar-Rahim,Al-Ahad,3
Rukun Iman yang keenam adalah iman kepada...,Kitab\Rasul\Hari Kiamat\Qada dan Qadar,Qada dan Qadar,3
Meyakini adanya hari akhir adalah rukun iman ke...,Tiga\Empat\Lima\Enam,Lima,2
"Arti dari ""Qada dan Qadar"" adalah...,Hari Kiamat\Kitab Allah\Surga dan Neraka\Ketentuan Allah,Ketentuan Allah,3"
Gunung, laut, dan manusia adalah...,Ciptaan Allah\Ciptaan malaikat\Ciptaan manusia\Ciptaan nabi,Ciptaan Allah,3
"Arti dari ""Bismillahirrahmanirrahim"" adalah...,Segala puji bagi Allah\Maha Suci Allah\Dengan menyebut nama Allah Yang Maha Pengasih lagi Maha Penyayang\Aku bersaksi tiada Tuhan selain Allah,Dengan menyebut nama Allah Yang Maha Pengasih lagi Maha Penyayang,3"
Mendapat nilai bagus di sekolah, kita mengucapkan...,Basmalah\Astaghfirullah\Hamdalah\Innalillahi,Hamdalah,3
Jika kita bersyukur atas nikmat Allah, maka nikmat kita akan...,Berkurang\Hilang\Bertambah\Sama saja,Bertambah,2
Rukun Islam yang kelima adalah...,Syahadat\Salat\Zakat\Naik haji,Naik haji,3
Arti dari Syahadat Tauhid adalah...,Aku bersaksi Nabi Muhammad utusan Allah\Aku bersaksi tiada Tuhan selain Allah\Segala puji bagi Allah\Allah Maha Besar,Aku bersaksi tiada Tuhan selain Allah,3
Arti dari Syahadat Rasul adalah...,Aku bersaksi tiada Tuhan selain Allah\Aku bersaksi Nabi Muhammad adalah utusan Allah\Allah Maha Pengasih\Segala puji bagi Allah,Aku bersaksi Nabi Muhammad adalah utusan Allah,3
Peristiwa luar biasa yang dialami nabi disebut...,Karomah\Sihir\Mukjizat\Hidayah,Mukjizat,3
Sifat nabi yang artinya 'menyampaikan' adalah...,Amanah\Tabligh\Fatanah\Siddiq,Tabligh,3
Sifat nabi yang artinya 'cerdas' adalah...,Amanah\Tabligh\Fatanah\Siddiq,Fatanah,3
Surah An-Nas berisi perintah untuk memohon... kepada Allah.,Rezeki\Ampunan\Perlindungan\Ilmu,Perlindungan,3
Surah An-Nas adalah surah ke- ... dalam Al-Qur'an.,111\112\113\114,114,3
Setan yang membisikkan kejahatan berasal dari golongan...,Jin saja\Manusia saja\Jin dan Manusia\Hewan dan Tumbuhan,Jin dan Manusia,3
Cara meneladani sifat Al-Malik adalah...,Menjaga kebersihan\Menahan diri dari perbuatan buruk\Memberi salam\Selalu jujur,Menahan diri dari perbuatan buruk,3
Allah bersih dari segala sifat kekurangan adalah makna dari...,Al-Malik\Al-Quddus\As-Salam\Ar-Rahman,Al-Quddus,3
Orang yang berbohong akan...,Disayang Allah\Dipercaya teman\Mendapat dosa\Mendapat pahala,Mendapat dosa,3
Lawan dari sifat jujur adalah...,Dusta (Bohong)\Amanah\Rajin\Hemat,Dusta (Bohong),3
Orang yang jujur akan... oleh teman-temannya.,Dijauhi\Dibenci\Dipercaya\Dilupakan,Dipercaya,3
Kentut adalah salah satu hal yang... wudu.,Mewajibkan\Menyempurnakan\Membatalkan\Mensunahkan,Membatalkan,3
Membaca niat wudu dilakukan ketika...,Berkumur\Membasuh muka\Membasuh kaki\Membasuh tangan,Membasuh muka,3
Tertib dalam wudu artinya...,Cepat-cepat\Berurutan\Melompat-lompat\Dari kiri ke kanan,Berurutan,3
Nabi Nuh a.s. berdakwah selama...,950 tahun\100 tahun\50 tahun\10 tahun,950 tahun,3
Nabi Nuh a.s. memiliki sifat terpuji yaitu...,Pemarah\Sombong\Sabar dan Kerja Keras\Putus asa,Sabar dan Kerja Keras,3
Nabi Nuh a.s. diperintahkan membawa ... ke atas kapal.,Harta benda\Berhala\Tumbuhan\Pasangan hewan,Pasangan hewan,3
"Kaum Nabi Nuh a.s. menyembah...,""Wadda', Suwa', Yagus, Ya'uq, Nasr\Allah\Nabi Nuh\Malaikat"",""Wadda', Suwa', Yagus, Ya'uq, Nasr"",3"
Membasuh anggota wudu sebaiknya didahulukan bagian...,Kiri\Kanan\Atas\Bawah,Kanan,3
Nabi Nuh a.s. termasuk dalam golongan...,Umat biasa\Khulafaur Rasyidin\Ulul Azmi\Sahabat Nabi,Ulul Azmi,3
