q,o,a,difficulty
Kerajaan Islam pertama di Indonesia...,Demak\Mataram\Samudera Pasai\Gowa Tallo\Ternate,Samudera Pasai,1
Raja pertama Samudera Pasai...,Raden Patah\Sultan Malik As-Saleh\Sultan Hasanuddin\Sultan Iskandar Muda\Sultan Agung,Sultan Malik As-Saleh,2
Walisongo menyebarkan Islam di pulau...,Sumatera\Kalimantan\Jawa\Sulawesi\Papua,Jawa,1
Sunan Gresik nama aslinya...,Maulana Malik Ibrahim\Raden Rahmat\Raden Paku\Raden Mas Said\Syarif Hidayatullah,Maulana Malik Ibrahim,3
Sunan Ampel berdakwah di...,Gresik\Surabaya\Tuban\Kudus\Cirebon,Surabaya,2
Sunan yang menggunakan wayang...,Sunan Bonang\Sunan Kalijaga\Sunan Giri\Sunan Drajat\Sunan Muria,Sunan Kalijaga,2
Sunan Gunung Jati berdakwah di...,Jawa Timur\Jawa Tengah\Cirebon (Jabar)\Banten\Jakarta,Cirebon (Jabar),2
Tradisi Islam di Jawa...,Ngaben\Sekaten\Nyepi\Galungan\Waisak,Sekaten,2
Kerajaan Islam di Sulawesi...,Demak\Samudera Pasai\Gowa Tallo\Tidore\Banjar,Gowa Tallo,2
Raja Gowa Tallo yang terkenal...,Sultan Hasanuddin\Sultan Baabullah\Pati Unus\Fatahillah\Raden Patah,Sultan Hasanuddin,2
Kerajaan Islam di Jakarta (Sunda Kelapa)...,Banten\Demak\Jayakarta\Cirebon\Pajang,Jayakarta,3
Salah satu penyebab Islam mudah diterima...,Syaratnya mudah\Harus kaya\Ada kasta\Upacara mahal\Harus bisa bahasa Arab,Syaratnya mudah,1
Q.S. At-Taubah ayat 105 berisi perintah...,Berperang\Berkompetisi dalam kebaikan\Membayar zakat\Melaksanakan haji\Menuntut ilmu,Berkompetisi dalam kebaikan,1
"Arti potongan ayat ""Fasayarallahu"" adalah...",Maka Allah akan melihat\Dan Rasul-Nya\Orang-orang mukmin\Kembali kepada Allah\Maha Mengetahui,Maka Allah akan melihat,2
"Hukum bacaan pada lafal ""Amalakum"" adalah...",Izhar Syafawi\Ikhfa Syafawi\Idgham Mimi\Qalqalah Sugra\Ghunnah,Izhar Syafawi,2
Etos kerja seorang muslim haruslah...,Biasa saja\Semangat dan ikhlas\Terpaksa\Mengharap pujian\Asal selesai,Semangat dan ikhlas,1
Manusia akan dikembalikan kepada...,Alam dunia\Alam gaib\Alam mimpi\Masa lalu\Keluarga,Alam gaib,2
Syu'abul Iman artinya...,Rukun Iman\Cabang-cabang Iman\Pohon Iman\Buah Iman\Akar Iman,Cabang-cabang Iman,1
Jumlah cabang iman menurut hadis...,6 cabang\10 cabang\50 cabang\77 cabang\99 cabang,77 cabang,2
Cabang iman paling tinggi adalah...,Menyingkirkan duri\Malu\Kalimat Tauhid\Salat\Zakat,Kalimat Tauhid,2
Cabang iman paling rendah adalah...,Menyingkirkan gangguan jalan\Membaca Al-Qur'an\Berzikir\Menuntut ilmu\Menikah,Menyingkirkan gangguan jalan,2
Iman meyakini dalam hati disebut...,Tasdiqun bil qalbi\Iqrarun bil lisan\Amalun bil arkan\Ihsan\Islam,Tasdiqun bil qalbi,3
Malu adalah sebagian dari...,Islam\Iman\Ihsan\Taqwa\Ilmu,Iman,1
Berfoya-foya adalah temannya...,Malaikat\Manusia\Setan\Jin\Nabi,Setan,1
Menghamburkan harta untuk maksiat disebut...,Israf\Tabzir\Riya\Sum'ah\Hasad,Tabzir,2
Berlebih-lebihan dalam hal halal disebut...,Tabzir\Israf\Kikir\Bakhil\Sombong,Israf,2
Melakukan ibadah agar dipuji orang...,Riya'\Sum'ah\Hasad\Takabur\Ujub,Riya',1
Menceritakan amal agar didengar orang...,Riya'\Sum'ah\Ghibah\Fitnah\Namimah,Sum'ah,2
Merasa diri lebih hebat dari orang lain...,Tawadhu\Takabur\Qanaah\Zuhud\Wara',Takabur,1
Tidak senang melihat orang lain bahagia...,Hasad\Ujub\Riya'\Sum'ah\Syirik,Hasad,1
Cara menghindari sifat hasad adalah...,Banyak bersyukur\Banyak bicara\Sering pamer\Mencela orang\Tidur terus,Banyak bersyukur,2
Sifat takabur pertama kali dilakukan...,Nabi Adam\Iblis\Malaikat\Qarun\Firaun,Iblis,2
Asuransi syariah disebut juga...,Takaful\Riba\Gharar\Maysir\Kredit,Takaful,2
Prinsip utama asuransi syariah...,Jual beli\Tolong-menolong\Mencari untung\Eksploitasi\Pertaruhan,Tolong-menolong,2
Larangan utama dalam transaksi syariah...,Untung\Riba\Jujur\Saksi\Akad,Riba,1
Riba artinya...,Tambahan/Bunga\Pengurangan\Potongan\Hadiah\Sedekah,Tambahan/Bunga,1
Bank yang tidak menggunakan bunga...,Bank Umum\Bank Syariah\Bank Konvensional\Bank Keliling\Bank Pusat,Bank Syariah,1
Kerja sama modal dan kerja (Bagi Hasil)...,Mudharabah\Murabahah\Wadiah\Musyarakah\Ijarah,Mudharabah,3
Jual beli dengan margin keuntungan...,Murabahah\Mudharabah\Musyarakah\Wadiah\Qardh,Murabahah,3
Koperasi syariah berlandaskan...,Pancasila\Al-Qur'an dan Hadis\Undang-Undang\Peraturan Bank\Adat istiadat,Al-Qur'an dan Hadis,1
Simpanan atau titipan murni disebut...,Wadiah\Gadai\Sewa\Pinjam\Hibah,Wadiah,3
Unsur ketidakpastian dalam transaksi...,Riba\Gharar\Maysir\Zalim\Haram,Gharar,3
Perjudian dalam ekonomi disebut...,Riba\Maysir\Gharar\Israf\Syirkah,Maysir,2
Lembaga pengawas bank syariah...,DPR\MUI\DSN (Dewan Syariah)\Polisi\Jaksa,DSN (Dewan Syariah),3
Walisongo berdakwah di pulau...,Sumatera\Kalimantan\Jawa\Sulawesi\Bali,Jawa,1
Sunan Gresik adalah nama lain...,Maulana Malik Ibrahim\Raden Rahmat\Sunan Ampel\Sunan Bonang\Sunan Giri,Maulana Malik Ibrahim,2
Metode dakwah Sunan Kalijaga menggunakan...,Kekerasan\Wayang Kulit\Perang\Debat\Buku,Wayang Kulit,2
Pencipta tembang Tombo Ati...,Sunan Bonang\Sunan Kalijaga\Sunan Giri\Sunan Kudus\Sunan Muria,Sunan Bonang,2
Sunan Kudus mengajarkan toleransi dengan...,Melarang potong sapi\Membangun gereja\Ikut ritual lain\Puasa mutih\Bertapa,Melarang potong sapi,3
Dakwah dengan cara bijaksana disebut...,Bil hikmah\Mauidzah hasanah\Mujadalah\Bil lisan\Bil hal,Bil hikmah,2
Raja pertama Demak Bintoro...,Raden Patah\Pati Unus\Sultan Trenggono\Jaka Tingkir\Sutawijaya,Raden Patah,2
Sultan Hasanuddin berasal dari...,Ternate\Tidore\Gowa-Tallo\Banjar\Demak,Gowa-Tallo,1
Kerajaan Islam pertama di Indonesia...,Samudera Pasai\Perlak\Demak\Mataram\Aceh,Samudera Pasai,1
Masuknya Islam melalui perdagangan karena...,Indonesia negara maritim\Indonesia negara agraris\Penduduknya ramah\Rajanya kaya\Suka belanja,Indonesia negara maritim,2
Akulturasi budaya Islam dan lokal...,Menara Kudus\Candi Borobudur\Patung Budha\Pura Bali\Klenteng,Menara Kudus,2
Dakwah Wali Songo dilakukan secara...,Paksaan\Damai dan bertahap\Revolusi\Perang saudara\Penjajahan,Damai dan bertahap,1
"Kitab ""Bustanussalatin"" karya...",Hamzah Fansuri\Nuruddin Ar-Raniri\Syamsudin Sumatrani\Abdurrauf Singkil\Wali Songo,Nuruddin Ar-Raniri,3
Ulama asal Banten yang mendunia...,Syekh Nawawi Al-Bantani\Syekh Yusuf\Syekh Arsyad\Syekh Siti Jenar\K.H. Ahmad Dahlan,Syekh Nawawi Al-Bantani,3
"Gelar ""Ayam Jantan dari Timur"" milik...",Sultan Hasanuddin\Pangeran Diponegoro\Imam Bonjol\Pattimura\Antasari,Sultan Hasanuddin,1
Hamzah Fansuri terkenal dengan karya...,Wayang\Syair/Sastra\Lukisan\Kaligrafi\Bangunan,Syair/Sastra,3
Sikap terhadap perbedaan ulama...,Mencela\Menghormati\Mengabaikan\Memusuhi\Debat kusir,Menghormati,1
Tujuan kompetisi dalam kebaikan...,Mencari rida Allah\Mencari harta\Mencari jabatan\Mencari musuh\Mencari sensasi,Mencari rida Allah,1
Iman itu bisa bertambah dan...,Berkurang\Hilang\Tetap\Mati\Abadi,Berkurang,1
Penyebab iman berkurang adalah...,Amal saleh\Maksiat/Dosa\Belajar\Sedekah\Zikir,Maksiat/Dosa,1
Menghindari foya-foya dengan cara...,Hidup hemat/sederhana\Mencuri\Berutang\Bekerja keras\Meminta-minta,Hidup hemat/sederhana,1
Dampak negatif sifat Riya'...,Pahala hilang\Disayang Allah\Dapat uang\Hati tenang\Masuk surga,Pahala hilang,2
Bank Syariah dilarang membiayai...,Usaha halal\Pabrik makanan\Perjudian/Miras\Pertanian\Pendidikan,Perjudian/Miras,2
Perbedaan Bank Syariah dan Konvensional...,Gedungnya\Sistem bunganya\Pegawainya\Seragamnya\Komputernya,Sistem bunganya,2
Fastabiqul Khairat artinya...,Berlombalah dalam kebaikan\Saling menolong\Jangan menyerah\Bersabarlah\Bekerja keraslah,Berlombalah dalam kebaikan,1
Menjaga amanah termasuk cabang iman...,Hati\Lisan\Perbuatan\Badan\Pikiran,Perbuatan,2
Membuang sampah pada tempatnya termasuk...,Iman\Islam\Ihsan\Adat\Hukum,Iman,1
Orang yang ingkar janji disebut...,Mukmin\Muslim\Munafik\Musyrik\Murtad,Munafik,1
