q,o,a,difficulty
Salat berjamaah pahalanya... derajat.,17\20\25\27,27,1
Posisi imam saat salat ada di...,Belakang makmum\Samping makmum\Depan makmum\Tengah saf,Depan makmum,1
Makmum yang tertinggal bacaan disebut...,Masbuk\Munfarid\Musafir\Mukim,Masbuk,2
Sujud karena lupa rakaat salat...,Sujud sahwi\Sujud tilawah\Sujud syukur\Sujud rukun,Sujud sahwi,2
Sujud sahwi dilakukan sebelum...,Rukuk\Iktidal\Salam\Takbir,Salam,3
Bacaan sujud sahwi berisi...,Pujian kesucian Allah\Permohonan ampun\Doa selamat\Ayat kursi,Pujian kesucian Allah,3
Sujud karena mendapat nikmat...,Sujud sahwi\Sujud syukur\Sujud tilawah\Sujud wajib,Sujud syukur,1
Sujud syukur dilakukan di...,Dalam salat\Luar salat\Awal salat\Tengah salat,Luar salat,2
Hukum sujud syukur adalah...,Wajib\Sunah\Makruh\Haram,Sunah,2
Sujud ketika mendengar ayat Sajdah...,Sujud sahwi\Sujud tilawah\Sujud syukur\Sujud rukun,Sujud tilawah,2
Jumlah sujud dalam sujud tilawah...,Satu kali\Dua kali\Tiga kali\Empat kali,Satu kali,2
Nabi Muhammad SAW lahir di...,Madinah\Makkah\Yaman\Mesir,Makkah,1
Ayah Nabi Muhammad SAW bernama...,Abu Thalib\Abdullah\Abdul Muthalib\Hamzah,Abdullah,1
Nabi menerima wahyu pertama di...,Gua Hira\Gua Tsur\Jabal Uhud\Jabal Rahmah,Gua Hira,1
Wahyu pertama yang turun adalah...,Al-Fatihah\Al-Muddassir\Al-Alaq 1-5\Al-Baqarah,Al-Alaq 1-5,2
Masyarakat Makkah sebelum Islam disebut...,Jahiliyah\Madaniyah\Modern\Tradisional,Jahiliyah,1
Jahiliyah artinya zaman...,Kepintaran\Kebodohan\Kemajuan\Kejayaan,Kebodohan,1
Sifat wajib bagi Rasul berjumlah...,4 sifat\5 sifat\20 sifat\99 sifat,4 sifat,1
Dakwah Nabi periode awal dilakukan...,Terang-terangan\Sembunyi-sembunyi\Paksaan\Kekerasan,Sembunyi-sembunyi,2
Orang pertama masuk Islam disebut...,Ahli Suffah\Kaum Anshar\Assabiqunal Awwalun\Kaum Muhajirin,Assabiqunal Awwalun,2
Wanita pertama yang masuk Islam...,Aisyah\Khadijah\Fatimah\Aminah,Khadijah,1
Sahabat yang menemani Nabi hijrah...,Umar bin Khattab\Abu Bakar\Ali bin Abi Talib\Usman bin Affan,Abu Bakar,2
Paman Nabi yang menentang dakwah...,Abu Thalib\Abu Lahab\Hamzah\Abbas,Abu Lahab,2
Dakwah terang-terangan dimulai di...,Bukit Safa\Pasar Ukaz\Ka'bah\Rumah Arqam,Bukit Safa,3
Tantangan dakwah di Makkah berupa...,Pujian\Hadiah\Hinaan dan siksaan\Dukungan raja,Hinaan dan siksaan,1
Peristiwa perjalanan malam Nabi disebut...,Nuzulul Qur'an\Isra Mikraj\Hijrah\Maulid,Isra Mikraj,2
Perintah salat 5 waktu turun saat...,Hijrah\Fathu Makkah\Isra Mikraj\Wada,Isra Mikraj,2
Gelar Al-Amin artinya...,Cerdas\Menyampaikan\Dapat dipercaya\Jujur,Dapat dipercaya,1
Kebiasaan buruk Arab Jahiliyah...,Berjudi dan mabuk\Berniaga\Menghormati tamu\Bersyair,Berjudi dan mabuk,1
Tempat berkumpulnya kaum Quraisy...,Darul Arqam\Darun Nadwah\Masjidil Haram\Pasar,Darun Nadwah,3
Sikap Nabi menghadapi penentang...,Membalas dendam\Sabar dan doa\Marah besar\Putus asa,Sabar dan doa,2
Rumah tempat pembinaan umat awal...,Rumah Abu Bakar\Rumah Arqam\Rumah Khadijah\Rumah Ali,Rumah Arqam,3
Salah satu misi Nabi adalah...,Mencari harta\Menyempurnakan akhlak\Menjadi raja\Menguasai wilayah,Menyempurnakan akhlak,2
Hijrah pertama kaum muslimin ke...,Madinah\Thaif\Habasyah\Yaman,Habasyah,3
Raja Habasyah yang adil bernama...,Namrud\Najasyi\Firaun\Abrahah,Najasyi,3
Kunci keberhasilan dakwah Nabi...,Harta melimpah\Pasukan kuat\Akhlak mulia\Kekuasaan,Akhlak mulia,2
Huruf Qalqalah berjumlah...,3 huruf\4 huruf\5 huruf\6 huruf,5 huruf,1
Huruf Qalqalah adalah...,Ba Jim Dal\Ta Sa Jim\Alif Ba Ta\Ya Nun Mim,Ba Jim Dal,2
Arti bahasa Qalqalah adalah...,Memantul\Mendengung\Samar\Jelas,Memantul,1
Qalqalah sugra terjadi jika...,Huruf mati asli\Huruf mati wakaf\Ada tasydid\Bertemu huruf nun,Huruf mati asli,2
Qalqalah kubra terjadi jika...,Mati karena wakaf\Mati asli\Berharakat fathah\Bertemu alif lam,Mati karena wakaf,2
Q.S. Ar-Rahman ayat 33 membahas...,Salat\Puasa\Ilmu Pengetahuan\Zakat,Ilmu Pengetahuan,1
Q.S. Al-Mujadilah ayat 11 membahas...,Derajat orang berilmu\Hukum perang\Larangan zina\Makanan halal,Derajat orang berilmu,1
Ya ma'syaral jinni artinya...,Wahai golongan jin\Wahai manusia\Wahai malaikat\Wahai rasul,Wahai golongan jin,2
Manusia bisa menembus langit dengan...,Sultan (Kekuatan/Ilmu)\Harta benda\Jabatan tinggi\Mantra sihir,Sultan (Kekuatan/Ilmu),2
Orang berilmu akan diangkat...,Hartanya\Derajatnya\Umurnya\Jabatannya,Derajatnya,1
Iman kepada Kitab Allah adalah rukun...,Iman ke-2\Iman ke-3\Iman ke-4\Islam ke-3,Iman ke-3,1
Kitab Taurat diturunkan kepada...,Nabi Daud AS\Nabi Musa AS\Nabi Isa AS\Nabi Ibrahim AS,Nabi Musa AS,1
Kitab Zabur diturunkan kepada...,Nabi Musa AS\Nabi Daud AS\Nabi Isa AS\Nabi Muhammad SAW,Nabi Daud AS,1
Kitab Injil diturunkan kepada...,Nabi Isa AS\Nabi Musa AS\Nabi Daud AS\Nabi Nuh AS,Nabi Isa AS,1
Bahasa Kitab Taurat adalah...,Arab\Yunani\Suryani\Ibrani,Ibrani,3
Suhuf adalah wahyu berupa...,Lembaran terpisah\Buku tebal\Batu tulis\Hafalan nabi,Lembaran terpisah,2
Nabi yang menerima suhuf adalah...,Nabi Ibrahim AS\Nabi Nuh AS\Nabi Yunus AS\Nabi Luth AS,Nabi Ibrahim AS,2
Al-Qur'an berfungsi sebagai penyempurna...,Kitab sebelumnya\Akhlak manusia\Hukum adat\Ilmu sihir,Kitab sebelumnya,2
"Nama lain Al-Qur'an ""Al-Huda"" artinya...",Pembeda\Petunjuk\Penyembuh\Cahaya,Petunjuk,2
Sikap kepada kitab terdahulu adalah...,Mengamalkannya\Meyakini keberadaannya\Menghafalnya\Mencelanya,Meyakini keberadaannya,3
Arti sifat Amanah adalah...,Cerdas\Dapat dipercaya\Menyampaikan\Jujur,Dapat dipercaya,1
Lawan dari sifat Amanah adalah...,Kizib\Khianat\Baladah\Riya,Khianat,2
Menyampaikan titipan kepada pemiliknya contoh...,Amanah\Jujur\Sabar\Istiqamah,Amanah,1
Menjaga rahasia teman termasuk...,Amanah\Khianat\Ghibah\Fitnah,Amanah,2
Kesesuaian ucapan dan perbuatan disebut...,Jujur\Adil\Berani\Hemat,Jujur,1
Kejujuran akan mengantarkan pada...,Kebaikan\Keburukan\Kekayaan\Kesombongan,Kebaikan,1
Jika berjanji harus...,Diingkari\Ditepati\Dilupakan\Diabaikan,Ditepati,1
Ciri orang munafik ada...,2 tanda\3 tanda\4 tanda\5 tanda,3 tanda,2
Jika berkata ia berdusta adalah tanda...,Musyrik\Kafir\Munafik\Fasik,Munafik,2
Salat sunah saat gerhana matahari...,Salat Kusuf\Salat Khusuf\Salat Istisqa\Salat Jenazah,Salat Kusuf,2
Salat sunah saat gerhana bulan...,Salat Khusuf\Salat Kusuf\Salat Rawatib\Salat Duha,Salat Khusuf,2
Hukum salat gerhana adalah...,Wajib\Sunah Muakkad\Fardu Kifayah\Mubah,Sunah Muakkad,2
Jumlah rukuk salat gerhana per rakaat...,Satu kali\Dua kali\Tiga kali\Empat kali,Dua kali,3
Salat meminta hujan disebut...,Salat Hajat\Salat Istisqa\Salat Tahajud\Salat Witir,Salat Istisqa,1
Salat Istisqa sebaiknya dilakukan di...,Masjid\Tanah lapang\Rumah\Pasar,Tanah lapang,2
Sebelum salat Istisqa disunahkan...,Puasa dan tobat\Makan kenyang\Tidur siang\Berlari-lari,Puasa dan tobat,3
Hukum mengurus jenazah adalah...,Fardu Ain\Fardu Kifayah\Sunah\Mubah,Fardu Kifayah,2
Memandikan jenazah harus di tempat...,Terbuka\Tertutup\Ramai\Luas,Tertutup,1
Kain kafan laki-laki sebaiknya...,2 lapis\3 lapis\5 lapis\7 lapis,3 lapis,2
Salat jenazah tidak memakai...,Rukuk dan Sujud\Takbir\Niat\Salam,Rukuk dan Sujud,2
Jumlah takbir salat jenazah...,3 takbir\4 takbir\5 takbir\7 takbir,4 takbir,2
Setelah takbir pertama membaca...,Doa Iftitah\Surah Al-Fatihah\Salawat Nabi\Doa jenazah,Surah Al-Fatihah,2
Setelah takbir kedua membaca...,Al-Fatihah\Salawat Nabi\Doa jenazah\Surah pendek,Salawat Nabi,2
Doa untuk mayit dibaca setelah...,Takbir ke-1\Takbir ke-2\Takbir ke-3\Takbir ke-4,Takbir ke-3,2
Posisi imam untuk jenazah laki-laki...,Arah kepala\Arah perut\Arah kaki\Samping kanan,Arah kepala,3
Daulah Abbasiyah didirikan oleh...,Harun Ar-Rasyid\Abul Abbas As-Saffah\Al-Mansur\Muawiyah,Abul Abbas As-Saffah,3
Ibukota Daulah Abbasiyah adalah...,Damaskus\Baghdad\Madinah\Kairo,Baghdad,1
Puncak kejayaan Abbasiyah dipimpin...,Al-Makmun\Harun Ar-Rasyid\Al-Mutawakkil\Al-Musta'shim,Harun Ar-Rasyid,2
Julukan Kota Baghdad adalah...,Kota 1001 Malam\Kota Pahlawan\Kota Suci\Kota Dagang,Kota 1001 Malam,1
Pusat ilmu pengetahuan di Baghdad...,Baitul Mal\Baitul Hikmah\Taj Mahal\Al-Azhar,Baitul Hikmah,2
Ilmuwan muslim ahli kedokteran...,Al-Khawarizmi\Ibnu Sina\Al-Farabi\Ibnu Rusyd,Ibnu Sina,2
Buku karya Ibnu Sina adalah...,Al-Qanun\Ihya Ulumuddin\Al-Jabar\Tafsir Jalalain,Al-Qanun,3
Bapak Matematika Islam adalah...,Al-Kindi\Al-Khawarizmi\Al-Battani\Jabir bin Hayyan,Al-Khawarizmi,2
Penemu angka nol adalah...,Al-Khawarizmi\Ibnu Sina\Ar-Razi\Ibnu Batuta,Al-Khawarizmi,2
Runtuhnya Abbasiyah diserang oleh...,Pasukan Salib\Pasukan Mongol\Turki Usmani\Bani Umayyah,Pasukan Mongol,3
Hikmah mempelajari sejarah Islam...,Menambah kesombongan\Mengambil pelajaran\Mengenang masa lalu\Menghafal tahun,Mengambil pelajaran,1
Baitul Hikmah berfungsi sebagai...,Pasar\Perpustakaan\Benteng\Penjara,Perpustakaan,2
Toleransi beragama di masa Abbasiyah...,Sangat buruk\Sangat tinggi\Tidak ada\Dilarang,Sangat tinggi,2
Masa keemasan Islam disebut...,The Dark Ages\The Golden Age\Renaissance\Revolusi Industri,The Golden Age,2
Tokoh Fiqih masa Abbasiyah...,Imam Syafi'i\Ibnu Sina\Al-Ghazali\Al-Farabi,Imam Syafi'i,3
